WKT,Latitude,Longitude,Name,Category,Time,Description,Classification
POINT (127.3890972 36.4269254),36.4269254,127.3890972,Indi Restaurant,Indian,11:30 am - 09:30 pm. Break time 3:00pm - 5:30pm,,Partially Halal restaurant
POINT (127.086782 36.9930109),36.9930109,127.086782 ,Himalayan Danfe,Indian,11:00 am - 10:00 pm. ,,Partially Halal restaurant
POINT (127.0569523 37.9164782),37.9164782,127.0569523,Ha's Kebap,Turkish,11:00 am - 11:00 pm. ,,Partially Halal restaurant
POINT (127.0570853 37.9157737),37.9157737,127.0570853,Ha's Kebap,Turkish,11:00 am - 11:00 pm. ,,Partially Halal restaurant
POINT (126.7896182 37.328974),37.328974,126.7896182,Samarkand,Uzbek,10:00 am - 10:00 pm. ,,Partially Halal restaurant
POINT (126.7900559 37.3287713),37.3287713,126.7900559,Asiana Restaurant,Indian,11:00am - 00:00am,,Partially Halal restaurant
POINT (126.7896909 37.3283089),37.3283089,126.7896909,Salty India Nepal Restaurant,Indian,10:30 am - 11:00 pm. ,,Partially Halal restaurant
POINT (127.2939605 36.4840166),36.4840166,127.2939605,New Tajmahal,Indian,11:00 am - 9:30 pm,,Partially Halal restaurant
POINT (127.4227615 36.7157411),36.7157411,127.4227615,Shubh,Indian,11:00 am - 09:00 pm Break time 3:00pm - 5:00pm,,Partially Halal restaurant
POINT (126.7704987 37.6563212),37.6563212,126.7704987,India Curry House,Indian,11:00 am - 10:00 pm,,Partially Halal restaurant
POINT (127.148444 36.809046),36.809046,127.148444 ,Mountain Fishtell,Indian,11:00 am - 11:00 pm,,Partially Halal restaurant
POINT (127.4600917 36.6334993),36.6334993,127.4600917,First Nepal Restaurant,Nepali,11:00 am - 10:00pm,,Partially Halal restaurant
POINT (127.0023512 37.2668399),37.2668399,127.0023512,Delhi dhaba,Indian,11:00 am - 09:00 pm ,,Partially Halal restaurant
POINT (126.9372254 37.5518738),37.5518738,126.9372254,Swoyambhu,Indian,11:00am-10:00pm,,Partially Halal restaurant
POINT (126.772587 37.6549897),37.6549897,126.772587 ,Asia Asia,Indian,11:30 am - 10:00 pm.,,Partially Halal restaurant
POINT (126.8312214 37.63234080000001),37.6323408,126.8312214,New Delhi,Indian,11:00 am - 10:00 pm. closed on Monday,,Partially Halal restaurant
POINT (128.6910729 34.889419),34.889419,128.6910729,Everest Restaurant,Indian,11:00 am - 10:00 pm.,,Partially Halal restaurant
POINT (128.6907776 34.8900832),34.8900832,128.6907776,Terkish House,Turkish,11:00 am - 11:00 pm.,,Partially Halal restaurant
POINT (126.9242172 37.5559267),37.5559267,126.9242172,Unexpectedly Lamb,Chinese,11:00am - 05:00am,,Partially Halal restaurant
POINT (127.2939172 36.604419),36.604419,127.2939172,Dialina,Uzbek,12:00 pm - 10:30 pm closed on Wednesday,,Partially Halal restaurant
POINT (126.6978733 37.78752549999999),37.7875254,126.6978733,Enjoy Turkey,Turkish,11:00 am - 08:00 pm. closed on Monday,,Partially Halal restaurant
POINT (128.6142715 34.8944075),34.8944075,128.6142715,Delhi India Restaurant,Indian,Mon ~ Sat,,Partially Halal restaurant
POINT (129.4115186 35.4817949),35.4817949,129.4115186,Navruz,Uzbek,10:00 am - 11:00 pm.,,Partially Halal restaurant
POINT (127.2086335 37.238615),37.238615,127.2086335,Muslima,Uzbek,09:00am ~ 05:00pm,,Partially Halal restaurant
POINT (126.9920947 37.5341623),37.5341623,126.9920947,Marrakech Restaurant itaewon,Moroccan,11:30 am - 12:00 am. (Mon 05:00 am - 12:00 am),,Partially Halal restaurant
POINT (127.2938982 36.4838811),36.4838811,127.2938982,Dining the Indra,Indian,11:30 am - 09:30 pm Break time 3:30pm - 5:30pm,,Partially Halal restaurant
POINT (127.0073743 37.5668355),37.5668355,127.0073743,Everest Restaurant,Indian,11:00am - 10:00pm,,Partially Halal restaurant
POINT (127.7136173 37.85068990000001),37.8506899,127.7136173,Chuncheon Sansok Dakgalbi,Korean,11:00am - 10:00pm,,Partially Halal restaurant
POINT (126.9077929 37.55567180000001),37.5556718,126.9077929,Oignon,Western,11:00 am - 11:00 pm. closed on Thursday,,Partially Halal restaurant
POINT (128.2006129 36.5957651),36.5957651,128.2006129,Samarqand Restaurant,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (128.7330247 35.3079574),35.3079574,128.7330247,Didor Restaurant,Uzbek,11:30am - 9:30pm,,Partially Halal restaurant
POINT (127.455785 36.6386014),36.6386014,127.455785 ,Tilla Tandor Restaurant,Uzbek,,,Partially Halal restaurant
POINT (126.9084024 37.1307662),37.1307662,126.9084024,Hilal Turkistan restaurant,Turkish,10:00am - 10:00pm,,Partially Halal restaurant
POINT (126.9994066 37.5727416),37.5727416,126.9994066,Warung Garden,Indonesian,"Breakfast 8:00 ~ 10:00, Lunch & Dinner 11:30 ~ 20:30",,Partially Halal restaurant
POINT (127.0736031 37.5536768),37.5536768,127.0736031,Big Brother's burger,Western,11:00am - 11:00pm,,Partially Halal restaurant
POINT (129.31189 35.43466240000001),35.4346624,129.31189 ,Tashkent,Uzbek,10:00am - 11:00pm.,,Partially Halal restaurant
POINT (127.0049826 37.5645986),37.5645986,127.0049826,Fortune,Uzbek,10:00am - 11:00pm.,,Partially Halal restaurant
POINT (126.8103044 35.1684605),35.1684605,126.8103044,Samarqand,Uzbek,10:30am - 09:00pm. Closed on Mondays,,Partially Halal restaurant
POINT (127.095558 37.7434527),37.7434527,127.095558 ,Chayhana,Uzbek,11:30am - 10:30pm. Closed on Mondays.,,Partially Halal restaurant
POINT (128.4087849 35.2781098),35.2781098,128.4087849,Vodiy,Uzbek,09:00am - 10:00pm,,Partially Halal restaurant
POINT (126.370472 34.7483349),34.7483349,126.370472 ,Al-Mashriq,Uzbek,10:30am - 10:00pm,,Partially Halal restaurant
POINT (126.8322015 37.5586854),37.5586854,126.8322015,Deli Kebab,Turkish,11:00am - 10:00pm. Closed on Sundays.,,Partially Halal restaurant
POINT (126.5643277 35.9659681),35.9659681,126.5643277,Madina Restaurant,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (127.9296191 36.970714),36.970714,127.9296191,Osiyo,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (126.7664236 36.8084657),36.8084657,126.7664236,Al Hilal,Uzbek,10:00am - 11:00pm,,Partially Halal restaurant
POINT (127.109687 37.32132959999999),37.3213295,127.109687 ,Lamb Nikuya,Japanese,12:00 ~ 23:00,,Partially Halal restaurant
POINT (127.6344975 37.2950053),37.2950053,127.6344975,Samarkand,Uzbek,12:00pm-10:00pm,,Partially Halal restaurant
POINT (128.8826622 35.233892),35.233892,128.8826622,Samarkand Chayhana,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (128.8820019 35.2341798),35.2341798,128.8820019,Navruz Restaurant,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (128.754493 35.8392646),35.8392646,128.754493 ,Chinor,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (127.1498232 36.8036391),36.8036391,127.1498232,Sumaya,Uzbek,,,Partially Halal restaurant
POINT (127.2717833 37.0039547),37.0039547,127.2717833,Veronika,Uzbek,12:00pm - 02:00pm/ 06:00pm - 09:00pm,,Partially Halal restaurant
POINT (126.6518819 37.4184426),37.4184426,126.6518819,Sitora Restaurant,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (128.2896491 35.92031469999999),35.9203146,128.2896491,Vodiy,Uzbek,,,Partially Halal restaurant
POINT (127.1482838 37.8302794),37.8302794,127.1482838,Sultan,Arabic,,,Partially Halal restaurant
POINT (127.0019796 37.2658439),37.2658439,127.0019796,Narayanee Palace,Indian,11:00am - 11:00pm,,Partially Halal restaurant
POINT (126.9100053 37.1337447),37.1337447,126.9100053,Kasansay,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (128.0806551 34.94020909999999),34.9402090,128.0806551,Warung Indonesia,Indonesian,12:00pm - 10:00pm,,Partially Halal restaurant
POINT (126.7375592 37.3448913),37.3448913,126.7375592,Curry Paradise Restaurant,Indian,10:00am ~ 09:00pm,,Partially Halal restaurant
POINT (129.0383821 35.1143328),35.1143328,129.0383821,Uchkuduk,Uzbek,11:00am - 11:00pm,,Partially Halal restaurant
POINT (128.4946582 35.855104),35.855104,128.4946582,Sevinch,Uzbek,12:00pm - 10:00pm,,Partially Halal restaurant
POINT (127.5770209 36.7820996),36.7820996,127.5770209,Anhor,Uzbek,11:00am - 10:00pm,,Partially Halal restaurant
POINT (128.4076459 35.2774417),35.2774417,128.4076459,Al-Baraka,Uzbek,,,Partially Halal restaurant
POINT (126.8538288 35.5673627),35.5673627,126.8538288,Tashkent,Uzbek,,,Partially Halal restaurant
POINT (126.8151718 37.0755893),37.0755893,126.8151718,Sabina Restaurant,Uzbek,09:00am - 10:00pm,,Partially Halal restaurant
POINT (126.6507781 37.4165026),37.4165026,126.6507781,Samarqand,Uzbek,11:00am - 09:00pm,,Partially Halal restaurant
POINT (126.5829857 37.651004),37.651004,126.5829857,Chayhana777,Uzbek,,,Partially Halal restaurant
POINT (128.1190261 35.1886547),35.1886547,128.1190261,Vodiy,Uzbek,,,Partially Halal restaurant
POINT (128.7534539 35.8375296),35.8375296,128.7534539,Mayalu,Indian,11:00am - 10:00pm,,Partially Halal restaurant
POINT (128.7520776 35.8419607),35.8419607,128.7520776,Marokand,Uzbek,24H,,Partially Halal restaurant
POINT (127.4533454 36.19281369999999),36.1928136,127.4533454,Muslim Halal Food,Uzbek,,,Partially Halal restaurant
POINT (127.1486996 36.8087275),36.8087275,127.1486996,Kamana,Indian,10:00 ~ 22:30,,Partially Halal restaurant
POINT (127.3401879 37.3500199),37.3500199,127.3401879,Mazza,Uzbek,,,Partially Halal restaurant
POINT (126.8403909 37.3006337),37.3006337,126.8403909,Rayhon,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (127.0338691 37.2635018),37.2635018,127.0338691,Himalaya Garden,Indian,11:30am - 11:00pm,,Partially Halal restaurant
POINT (127.0024078 37.266039),37.266039,127.0024078,Tashkent,Uzbek,11:00 am - 10:00pm,,Partially Halal restaurant
POINT (127.0023089 37.2667107),37.2667107,127.0023089,Delly naan,Indian,10:00am - 10:00pm,,Partially Halal restaurant
POINT (127.0035911 37.266991),37.266991,127.0035911,Swoyambhu ,Indian,11:00am - 10:00pm,,Partially Halal restaurant
POINT (127.0016682 37.2659405),37.2659405,127.0016682,Himalaya Garden,Indian,10:00am - 10:00pm,,Partially Halal restaurant
POINT (126.622167 37.6174337),37.6174337,126.622167 ,Asian Cafe,Asian,08:00am - 11:00pm,,Partially Halal restaurant
POINT (126.6597448 37.60144030000001),37.6014403,126.6597448,Namaste Asia,Indian,11:00am - 09:00pm,,Partially Halal restaurant
POINT (127.0434841 37.2793594),37.2793594,127.0434841,Naan Indian Restaurant,Indian,11:00am - 10:00pm,,Partially Halal restaurant
POINT (126.7930873 37.3310409),37.3310409,126.7930873,Tashkent City,Uzbek,10:00am - 10:00pm. Closed on Tuesdays,,Partially Halal restaurant
POINT (129.0372807 35.3454084),35.3454084,129.0372807,Uzgen restaurant,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (126.483646 33.485345),33.485345,126.483646 ,Yang,Korean,05:00pm - 11:00pm,,Partially Halal restaurant
POINT (127.2571172 37.4079517),37.4079517,127.2571172,Kebab cafe,Uzbek,,,Partially Halal restaurant
POINT (127.0350594 37.2643144),37.2643144,127.0350594,Naan Indian Restaurant,Indian,11:00am - 10:00pm. ,,Partially Halal restaurant
POINT (126.923292 37.55453649999999),37.5545364,126.923292 ,The Kitchen Asia,Indian,11:00am - 10:00pm. ,,Partially Halal restaurant
POINT (127.1337311 37.5255522),37.5255522,127.1337311,Lamb Nikuya,Japanese,12:00 ~ 23:00,,Partially Halal restaurant
POINT (126.9575115 37.461645),37.461645,126.9575115,10 inch Sandwich & Coffee,Cafe,09:00am-09:00pm.,,Partially Halal restaurant
POINT (126.7576988 37.67120329999999),37.6712032,126.7576988,Cheong Yang,Chinese,05:00pm-10:00pm. Closed on Mondays.,,Partially Halal restaurant
POINT (126.9399309 37.5195364),37.5195364,126.9399309,Walking on the Cloud,Western,Weekdays 11:30–15:00,,Partially Halal restaurant
POINT (127.092975 37.3896186),37.3896186,127.092975 ,Shahslyk,Western,11:00 ~ 22:00,,Partially Halal restaurant
POINT (126.9929206 37.5287096),37.5287096,126.9929206,Cleo,Indian,"Breakfast(6:30 AM ~ 10:30 AM), Lunch (12:00 PM ~ 3:00 PM | Weekends: 11:30 AM ~ 3:00 PM). Dinner (5:30 PM - 10:00 PM).",,Partially Halal restaurant
POINT (126.9859881 37.5730268),37.5730268,126.9859881,Little India,Indian,10:30am ~ 11:30pm.,,Partially Halal restaurant
POINT (126.9755447 37.5705408),37.5705408,126.9755447,The Market Kitchen,Western,"Breakfast(6:30 AM ~ 10:30 AM), Lunch (11:30 aM ~ 2:30 PM ). Dinner (5:30 PM - 09:30 PM).",,Partially Halal restaurant
POINT (126.5258406 33.5150026),33.5150026,126.5258406,Mount Everest,Indian,11:00am ~ 11:00pm.,,Partially Halal restaurant
POINT (127.3628482 36.3549975),36.3549975,127.3628482,Hello Kebab,Turkish,12:00pm ~ 00:0am.,,Partially Halal restaurant
POINT (126.9998972 37.5358862),37.5358862,126.9998972,Gyoyang Siksa,Japanese,"Weekdays 17:00 ~ 22:00, Weekend 13:00 ~ 22:00",,Partially Halal restaurant
POINT (127.0829515 37.5093148),37.5093148,127.0829515,Gyoyang Siksa,Japanese,17:00 ~ 22:00,,Partially Halal restaurant
POINT (126.9874951 37.54214220000001),37.5421422,126.9874951,Adams Taco,Western,12:00pm - 02:00am. Closed on Mondays.,,Partially Halal restaurant
POINT (127.1330193 37.5236169),37.5236169,127.1330193,Lamb Nikuya,Japanese,12:00 ~ 23:00,,Partially Halal restaurant
POINT (127.0863136 37.5374197),37.5374197,127.0863136,Lamb Nikuya,Japanese,12:00 ~ 23:00,,Partially Halal restaurant
POINT (126.7359266 37.7289845),37.7289845,126.7359266,Story of India,Indian,11:00am - 09:40pm. Break time 3:30pm - 5:30pm. Closed on Tuesdays.,,Partially Halal restaurant
POINT (126.7603789 37.716686),37.716686,126.7603789,Grey,Indian,11:00 ~ 22:00 (15:00 ~ 17:00 Break),,Partially Halal restaurant
POINT (127.0517671 37.59489380000001),37.5948938,127.0517671,Kyeonghee University Cafeteria,Korean,,,Partially Halal restaurant
POINT (127.9305236 36.9718986),36.9718986,127.9305236,Al-madina,Uzbek,10:00am - 10:00pm,,Partially Halal restaurant
POINT (126.7677653 37.6583809),37.6583809,126.7677653,Sincerely Lamb,Korean,16:00 ~ 22:00,,Partially Halal restaurant
POINT (127.1092414 37.3211271),37.3211271,127.1092414,Ganges,Indian,11:00 ~ 21:00 (15:30 ~ 17:00 Breaktime),,Partially Halal restaurant
POINT (127.0619236 37.2070809),37.2070809,127.0619236,Ganges,Indian,11:00 ~ 21:00 (15:30 ~ 17:00 Breaktime),,Partially Halal restaurant
POINT (127.151605 37.2779159),37.2779159,127.151605 ,Ganges,Indian,11:00 ~ 21:00 (15:30 ~ 17:00 Breaktime),,Partially Halal restaurant
POINT (127.0441856 37.5575649),37.5575649,127.0441856,Hanyang University Cafeteria,Korean,,,Partially Halal restaurant
POINT (126.9455704 37.5586145),37.5586145,126.9455704,Aangan,Indian,10:30 ~ 22:00,,Partially Halal restaurant
POINT (127.2232107 37.5449668),37.5449668,127.2232107,Everest,Indian,11:00 ~ 22:00 ,,Partially Halal restaurant
POINT (127.0299961 37.58362879999999),37.5836287,127.0299961,Gogo Indian Cuisine,Indian,11:00 ~ 21:00,,Partially Halal restaurant
POINT (127.065264 37.65605319999999),37.6560531,127.065264 ,Old Delhi,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (127.2597805 37.4081388),37.4081388,127.2597805,Swoyambhu,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (127.0022982 37.2672804),37.2672804,127.0022982,Great Himalaya,Indian,11:00 ~ 22:30,,Partially Halal restaurant
POINT (127.0664351 37.5418277),37.5418277,127.0664351,Royal Indian,Indian,11:30 ~ 22:00,,Partially Halal restaurant
POINT (126.9315748 37.3579287),37.3579287,126.9315748,Kinja,Indian,12:00 ~ 22:00,,Partially Halal restaurant
POINT (126.8553406 35.1521165),35.1521165,126.8553406,Indoyasijang,Indian,11:30 ~ 21:30 (14:30 ~ 17:30 Break),,Partially Halal restaurant
POINT (127.0030039 36.7820891),36.7820891,127.0030039,New himalaya nepal,Indian,11:00 ~ 23:00. Closed on Wednesdays.,,Partially Halal restaurant
POINT (126.9159404 35.1462192),35.1462192,126.9159404,First Nepal,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (126.9863538 37.82301469999999),37.8230146,126.9863538,Himalaya Kitchen,Indian,10:30 ~ 22:30,,Partially Halal restaurant
POINT (127.0932934 37.819755),37.819755,127.0932934,Mini India Korea,Indian,Tue ~ Sun 11:00 ~ 23:00,,Partially Halal restaurant
POINT (127.0024439 37.8700522),37.8700522,127.0024439,Toa Joa Halal food,Indian,temporarily closed.,,Partially Halal restaurant
POINT (127.4291317 36.328519),36.328519,127.4291317,Lumbini,Indian,10:30 ~ 22:00,,Partially Halal restaurant
POINT (127.0144863 37.57286269999999),37.5728626,127.0144863,Lumbini,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (128.7348961 35.8224907),35.8224907,128.7348961,Machan,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (129.0383 35.1144288),35.1144288,129.0383 ,Doner Texas,Western,Tue ~ Sun / 11:00 ~ 21:00,,Partially Halal restaurant
POINT (129.0589813 35.1955296),35.1955296,129.0589813,Hello India Al Waha,Indian,11:00~22:00,,Partially Halal restaurant
POINT (129.1226061 35.1561963),35.1561963,129.1226061,Doner Haus,Western,11:30 ~ 20:00,,Partially Halal restaurant
POINT (128.9655724 35.1054361),35.1054361,128.9655724,Asha,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (127.1030965 37.513471),37.513471,127.1030965,Ganga,Indian,10:30 ~ 22:00,,Partially Halal restaurant
POINT (127.1312401 37.4310929),37.4310929,127.1312401,Nikuzo,Japanese,05:00pm-11:00pm. Closed on Sundays.,,Partially Halal restaurant
POINT (126.9871233 37.8222531),37.8222531,126.9871233,Hazi restaurant,Indian,11:00 ~ 22:30,,Partially Halal restaurant
POINT (127.0393182 36.9274009),36.9274009,127.0393182,Kebab,Turkish,,,Partially Halal restaurant
POINT (126.7909449 37.3304662),37.3304662,126.7909449,Gathotkaca,Indonesian,11:00am - 10:00pm,,Partially Halal restaurant
POINT (127.053113 37.5933342),37.5933342,127.053113 ,New Delhi,Indian,11:00am ~ 09:00pm. ,,Partially Halal restaurant
POINT (127.1238233 37.32267829999999),37.3226782,127.1238233,First Nepal,Indian,11:00 ~ 22:00 ,,Partially Halal restaurant
POINT (126.8948223 37.64678050000001),37.6467805,126.8948223,Everest,Indian,10:00 ~ 22:00,,Partially Halal restaurant
POINT (126.9132282 35.1749719),35.1749719,126.9132282,Raj,Indian,11:30 ~ 21:30 (15:00 ~ 17:00 Break),,Partially Halal restaurant
POINT (127.0064336 37.562581),37.562581,127.0064336,Basilic,Uzbek,11:30 ~ 22:00. Closed on Mondays.,,Partially Halal restaurant
POINT (127.4394013 36.8588974),36.8588974,127.4394013,Gnk restaurant,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (127.1489541 36.8087897),36.8087897,127.1489541,Maiti Ghar,Indian,11:00 ~ 22:00,,Partially Halal restaurant
POINT (129.1123299 35.1494099),35.1494099,129.1123299,Falafel Stand (Halalal),Arabic,12:00 ~ 20:00,,Partially Halal restaurant
POINT (126.9837466 37.5751114),37.5751114,126.9837466,Nirvana,Indian,11:30 ~ 21:00. Breaktime 15:00 ~ 17:00. Closed on Tuesdays,,Partially Halal restaurant
POINT (126.9110981 37.5505097),37.5505097,126.9110981,Appa's Yangsikdang,Japanese,15:00 ~ 23:00.,,Partially Halal restaurant
POINT (127.442259 36.8575789),36.8575789,127.442259 ,HALAL FOOD,Uzbek,,,Partially Halal restaurant
POINT (127.0249821 37.6314774),37.6314774,127.0249821,Chungpungok Seolleongtang,Korean,11:00 ~ 22:00. Closed on Wednesdays.,,Partially Halal restaurant
POINT (127.3281824 36.63514809999999),36.6351480,127.3281824,Mulberry,Indian,11:30 ~ 21:00. Breaktime 15:00 ~ 17:00. Closed on Sundays.,,Partially Halal restaurant
POINT (128.4448822 35.6910947),35.6910947,128.4448822,Juwangsan Samgyetang,Korean,10:00am - 09:00pm.,,Partially Halal restaurant
POINT (127.006327 37.5655743),37.5655743,127.006327 ,ZALUUS,Mogolian,10:00 ~ 22:00.,,Partially Halal restaurant
POINT (127.0279764 37.50020529999999),37.5002052,127.0279764,Yuk Lab,Korean,16:00 ~ 23:00. Weekends 15:00 ~,,Partially Halal restaurant
POINT (126.9087434 37.1329774),37.1329774,126.9087434,Indian Cuisine,Indian,10:00 ~ 22:00. Closed on Tuesdays.,,Partially Halal restaurant
POINT (126.9200183 37.5548713),37.5548713,126.9200183,Yougol Sushi ,Japanese,10:30 - 22:30.,"Seafood restaurant. Sushi. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (126.9506066 37.5448909),37.5448909,126.9506066,Dongwon Tuna,Japanese,11:00 - 15:00. 16:50 - 22:00 pm. Closed on Sunday,"Seafood restaurant. Tuna sashimi. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.003841 37.56602549999999),37.5660254,127.003841 ,SongJung,Korean,11:30 - 21:00.,"Seafood restaurant. Grilled eel. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (126.988004 37.57356499999999),37.5735649,126.988004 ,Seoul Wonjo Agujjim,Korean,10:00 - 02:00.,"Seafood restaurant. Braised anglerfish, Spicy seafood stew. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.1651654 37.8502812),37.8502812,127.1651654,Daebok,Korean,10:00 - 21:30. Breaktime 15:00 - 16:30. Closed on Sundays.,"Seafood restaurant. Pufferfish cuisine. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.1456047 37.602286),37.602286,127.1456047,Kiku Sushi,Japanese,11:30 - 21:20. Breaktime 15:00 - 17:00.,"Seafood restaurant. Sushi. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.7213884 37.8642342),37.8642342,127.7213884,Hwangtae Maeul,Korean,08:00 - 21:00.,"Seafood restaurant. Grilled Dried Pollack,  Raw crab marinated in sauce. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.5349058 38.2016261),38.2016261,128.5349058,Miga,Korean,08:00 - 16:40. Closed on Thursdays,"Seafood restaurant. Grilled Dried Pollack. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.5862121 38.2109032),38.2109032,128.5862121,Dongmyeonghang Saengseon Sutbul Gui,Korean,11:00 - 21:00. Breaktime 15:00 - 17:30.,"Seafood restaurant. Grilled Fish restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.828229 37.8886531),37.8886531,128.828229 ,Silbi Grilled fish,Korean,07:00 - 21:00. Closed on Wednesdays.,"Seafood restaurant. Grilled Fish restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.8281374 37.88884609999999),37.8888460,128.8281374,Silbi Grilled fish(2nd Branch),Korean,08:00 - 21:00. Closed on Wednesdays.,"Seafood restaurant. Grilled Fish restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.828095 37.89185659999999),37.8918565,128.828095 ,Wolseong Restaurant,Korean,09:00 - 20:00. Closed on Mondays.,"Seafood Restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (129.032528 37.69097599999999),37.6909759,129.032528 ,Jeongdongjin Haemultang,Korean,09:00 - 21:00. ,"Seafood Restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (128.6301532 38.1203868),38.1203868,128.6301532,Naksan Sea Sashimi,Korean,09:00 - 24:00. ,"Seafood Restaurant. Crab / Sashimi. Ramen may contain pork ingredients.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (126.7177597 35.981167),35.981167,126.7177597,Gasiri,Korean,11:30 - 21:00.,"Seafood restaurant. Fish soup. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (126.532473 35.93928),35.93928,126.532473 ,Saemangeum Sushi Restaurant,Korean,11:00 - 22:00. Breaktime 15:00 - 17:00.,"Seafood Restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.3767173 35.40111479999999),35.4011147,127.3767173,Busan House,Korean,08:00 - 20:00. Breaktime 15:00 - 17:00.,"Seafood restaurant. Loach soup, Fried Loach. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.3770065 35.4013293),35.4013293,127.3770065,Hyeon Restaurant,Korean,07:30 - 20:00. Breaktime 15:00 - 17:00.,"Seafood restaurant. Loach soup. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.382065 35.40333619999999),35.4033361,127.382065 ,Samdae Wonjo Halmae Chueotang,Korean,08:00 - 20:00. Breaktime 14:20 - 17:00.,"Seafood restaurant. Loach soup. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.3769444 35.4011111),35.4011111,127.3769444,Chinjeol Restaurant ,Korean,07:00 - 21:00.,"Seafood restaurant. Loach soup, Fried Loach. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.159833 35.8119727),35.8119727,127.159833 ,Hwasun House,Korean,09:00 - 21:00. ,"Seafood restaurant. Spicy fish soup. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.1599879 35.8118841),35.8118841,127.1599879,Hanbyeok House,Korean,11:00 - 21:00. Breaktime 15:00 - 17:00.,"Seafood restaurant. Spicy fish soup. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.5155086 34.9327728),34.9327728,127.5155086,Seomjingang Ae Jaecheop,Korean,06:00 - 17:00. ,"Seafood restaurant. Marsh clam cuisine. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.0186442 35.2390416),35.2390416,127.0186442,Mujinjang Haemultang,Korean,11:30 - 20:00.,"Seafood restaurant. Spicy fish soup. No pork included. There is a Chicken menu and it is not halal meat.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.749256 34.7433591),34.7433591,127.749256 ,Samhak House,Korean,09:00 - 21:00 .,"Seafood restaurant. Spicy Raw Fish Salad, Grilled Cutlassfish. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (126.3669704 33.2357856),33.2357856,126.3669704,Jeju Haejonae Bomal Sea urchin,Korean,08:00 - 15:00. Closed on Wednesdays.,"Seafood Restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
POINT (127.6567259 34.7488742),34.7488742,127.6567259,Dabok Sushi Restaurant,Korean,11:00 - 22:00.,"Seafood Restaurant. No pork included.
A restaurant certified as Muslim-friendly by the Korean government.",Seafood restaurant
